Config_ID,Running_Time_s,update_tree_cache_calls,WPLI
Config 1,1.3726739883422852,48,17.45907222298045
Config 2,0.21756958961486816,42,13.477466722329334
Config 3,0.17330574989318848,40,11.86632188266805
Config 4,0.17800140380859375,42,10.987698344641734
Config 5,3.190260887145996,46,17.20063836755372
Config 6,0.20138192176818848,44,10.158573642653112
Config 7,0.19750213623046875,42,11.910867117798443
Config 8,0.135847806930542,38,6.9869597277525735
Config 9,0.18573689460754395,42,12.051792697841371
Config 10,0.20192956924438477,44,15.30681665141771
Config 11,0.26686954498291016,46,13.108066937179501
Config 12,1.6364412307739258,48,20.546044343334266
Config 13,0.36443209648132324,44,14.356440147104763
Config 14,0.22510290145874023,42,11.959688210387691
Config 15,0.19510507583618164,40,10.185239535736619
Config 16,0.2793121337890625,38,7.444409577424096
Config 17,0.19597959518432617,44,11.221791394561514
Config 18,0.2279510498046875,40,10.185239535736619
Config 19,0.18507981300354004,38,6.416247308813994
Config 20,0.16121649742126465,38,8.308395269212348
Config 21,0.11601924896240234,32,5.7788532955252965
Config 22,0.21595144271850586,42,13.372554642523216
Config 23,0.17408466339111328,40,8.025471806663692
Config 24,0.18790054321289062,38,6.724289198037858
Config 25,0.17063689231872559,40,9.419653770669644
Config 26,0.14911532402038574,38,8.232314540002644
Config 27,1.8694427013397217,46,13.069728630954488
Config 28,0.1633756160736084,36,6.9869597277525735
Config 29,0.1893765926361084,44,10.48155840863838
Config 30,1.969851016998291,46,13.544498511139242
Config 31,0.33536505699157715,42,10.516301712965719
Config 32,0.20518112182617188,44,12.500755103439866
Config 33,0.18037652969360352,40,10.94811726628376
Config 34,0.2886850833892822,38,8.17544719580101
Config 35,1.989720106124878,46,17.551289052398605
Config 36,0.21477484703063965,38,9.147184936964571
Config 37,0.1775045394897461,38,7.712759931855465
Config 38,0.22516822814941406,46,11.262575797192746
Config 39,0.1489121913909912,36,7.665723282594611
Config 40,0.7386932373046875,40,10.493617717129359
Config 41,0.15070033073425293,36,7.554321256487279
Config 42,0.2380659580230713,40,9.300585792673347
Config 43,0.18147754669189453,46,12.051792697841368
Config 44,0.25538015365600586,42,12.936613949099208
Config 45,0.25217199325561523,46,7.935527208984053
Config 46,2.4493613243103027,42,13.256939608339739
Config 47,1.6072418689727783,44,12.718932444249218
Config 48,0.1887497901916504,42,9.5670319235842
Config 49,0.16180205345153809,38,9.458755663940845
Config 50,1.5497374534606934,38,8.513397647519673
Config 51,0.24618053436279297,44,9.825647853037903
Config 52,0.2112436294555664,42,7.396175337816737
Config 53,1.8508257865905762,42,13.818553460802729
Config 54,2.884491443634033,44,10.872957677923083
Config 55,0.28264951705932617,36,6.722501184324158
Config 56,0.2222738265991211,46,8.36943879755579
Config 57,0.24799346923828125,36,7.379785027277467
Config 58,0.16559648513793945,40,10.763370976409146
Config 59,0.1776437759399414,38,8.537376056219333
Config 60,0.21474647521972656,42,11.343277066045433
Config 61,1.2995686531066895,42,12.01412490670755
Config 62,0.22006487846374512,40,9.910355786201565
Config 63,0.2142505645751953,40,7.830410418226542
Config 64,0.18986248970031738,36,7.458233553200099
Config 65,0.13742971420288086,36,7.415296841816399
Config 66,0.20262956619262695,36,6.733520481945358
Config 67,0.8090696334838867,36,7.135169607810813
Config 68,0.1884915828704834,40,10.94819098519504
Config 69,1.1330175399780273,38,7.305925783795785
Config 70,0.6707158088684082,40,10.878304821799789
Config 71,2.637127637863159,44,15.7632198904083
Config 72,2.988879442214966,42,12.158953097189764
Config 73,0.1911308765411377,40,9.732488488538076
Config 74,0.2982146739959717,38,8.511448626792758
Config 75,0.21648836135864258,44,13.351807882916006
Config 76,0.24836111068725586,42,13.113369884481223
Config 77,0.15797758102416992,38,8.310222793152423
Config 78,0.2076551914215088,44,12.005124987985807
Config 79,0.1842634677886963,40,8.956020006649226
Config 80,0.14397716522216797,38,7.9525004009638876
Config 81,0.2263011932373047,44,11.77395546438373
Config 82,0.11667060852050781,30,4.853109690149354
Config 83,0.18735980987548828,40,10.185239535736619
Config 84,0.2559621334075928,48,12.730654480349573
Config 85,1.6865382194519043,42,13.314370662522656
Config 86,0.22743773460388184,46,13.597737067194258
Config 87,0.17445063591003418,40,9.247596122399539
Config 88,0.2140789031982422,42,10.763370976409146
Config 89,0.269913911819458,48,16.48307858602574
Config 90,0.14121127128601074,34,6.7836093484433135
Config 91,2.360304832458496,48,15.48327722614611
Config 92,1.575425148010254,40,10.589899766001178
Config 93,0.2033226490020752,42,11.345496672318298
Config 94,0.1331923007965088,34,6.085021842054421
Config 95,0.18011188507080078,36,8.025471806663692
Config 96,0.18573951721191406,44,14.13609417076362
Config 97,0.16588473320007324,40,9.004179629749007
Config 98,0.21336793899536133,38,8.670181097452772
Config 99,0.16124296188354492,40,8.010719779487573
Config 100,0.14969778060913086,38,9.02576612298612
Config 101,0.1589798927307129,34,6.3277023928017035
Config 102,0.20134663581848145,40,10.313873210281216
Config 103,0.1831986904144287,42,9.153457838071748
Config 104,0.1313779354095459,36,6.724289198037859
Config 105,0.2418973445892334,38,9.703415783551833
Config 106,0.2215721607208252,42,12.500755103439866
Config 107,0.2108626365661621,44,10.656439054333743
Config 108,0.1809682846069336,36,6.733520481945358
Config 109,0.15239787101745605,46,10.006832308192026
Config 110,0.22537851333618164,44,13.229214624809803
Config 111,0.3304464817047119,40,10.18619838356153
Config 112,1.3487820625305176,44,12.014124906707549
Config 113,0.1594069004058838,36,7.125621738610938
Config 114,0.20231175422668457,42,11.598470727334444
Config 115,1.608246088027954,42,7.761620706690459
