Config_ID,Running_Time_s,update_tree_cache_calls,WPLI
Config 1,18.62223792076111,24,40.413204814386
Config 2,0.2452869415283203,18,19.26533278312219
Config 3,0.5109517574310303,22,33.57846509951869
Config 4,0.24982500076293945,18,17.369024154218742
Config 5,20.562471389770508,24,40.413204814386
Config 6,0.47436976432800293,22,30.06688971514774
Config 7,0.400667667388916,18,19.265332783122187
Config 8,0.3004333972930908,18,19.26533278312219
Config 9,0.10000205039978027,16,15.212776585113298
Config 10,0.38579392433166504,20,23.82539084313933
Config 11,19.12297558784485,24,42.72640571816108
Config 12,0.09997010231018066,16,15.212776585113298
Config 13,0.23456287384033203,18,19.265332783122187
Config 14,0.23034882545471191,18,17.369024154218742
Config 15,0.39872312545776367,20,23.825390843139324
Config 16,0.23559999465942383,18,19.265332783122187
Config 17,0.28881311416625977,18,20.412414523193153
Config 18,0.2561001777648926,18,20.412414523193153
Config 19,0.08440709114074707,16,15.212776585113298
Config 20,20.94434356689453,24,42.726405718161075
Config 21,0.3628389835357666,22,30.06688971514774
Config 22,0.5172688961029053,22,33.57846509951869
Config 23,0.2673215866088867,18,19.265332783122187
Config 24,0.23519134521484375,18,20.412414523193153
Config 25,0.2353675365447998,18,20.412414523193153
Config 26,0.0857999324798584,16,15.212776585113298
Config 27,0.5804903507232666,22,30.066889715147745
Config 28,0.24798917770385742,18,17.369024154218742
Config 29,0.5106797218322754,22,30.06688971514774
Config 30,0.23558688163757324,18,19.265332783122187
Config 31,0.0938577651977539,16,15.212776585113298
Config 32,0.3009610176086426,18,20.412414523193153
Config 33,0.2471761703491211,18,19.26533278312219
Config 34,0.5740969181060791,22,33.57846509951869
Config 35,0.5049622058868408,20,27.29165543528681
Config 36,0.5298290252685547,22,30.066889715147745
Config 37,18.628963232040405,24,45.456864504849484
Config 38,0.6669907569885254,22,30.066889715147745
Config 39,0.4442563056945801,18,17.369024154218742
Config 40,0.11386942863464355,16,15.212776585113298
Config 41,0.36769604682922363,18,17.369024154218742
Config 42,0.963639497756958,22,33.57846509951869
Config 43,0.38356924057006836,18,20.412414523193153
Config 44,0.6514997482299805,20,23.825390843139335
Config 45,0.269944429397583,18,19.26533278312219
Config 46,0.3806307315826416,20,27.29165543528681
Config 47,0.5972480773925781,22,32.317775068951605
Config 48,0.51133131980896,16,15.212776585113298
Config 49,0.39992260932922363,22,32.317775068951605
Config 50,0.09993577003479004,16,15.212776585113295
Config 51,0.3292500972747803,18,19.26533278312219
Config 52,0.2339768409729004,18,19.26533278312219
Config 53,0.3505089282989502,18,19.265332783122187
Config 54,0.10365962982177734,16,15.212776585113298
Config 55,0.49325132369995117,22,28.16911032671567
Config 56,0.3770308494567871,22,32.317775068951605
Config 57,0.24044322967529297,18,20.412414523193153
Config 58,0.23877310752868652,18,20.412414523193153
Config 59,0.31072235107421875,20,25.131846879399244
Config 60,0.3985590934753418,20,25.131846879399244
Config 61,0.47112011909484863,22,30.06688971514774
Config 62,0.3294949531555176,18,17.369024154218742
Config 63,0.5026395320892334,22,32.317775068951605
Config 64,0.10619282722473145,16,15.212776585113298
Config 65,0.11789369583129883,16,15.212776585113298
Config 66,0.2850327491760254,18,19.26533278312219
Config 67,0.30114126205444336,18,20.412414523193153
Config 68,0.32941555976867676,18,20.412414523193153
Config 69,0.6477541923522949,20,27.29165543528681
Config 70,0.980379581451416,22,33.57846509951869
Config 71,0.32692599296569824,18,20.412414523193153
Config 72,0.44286584854125977,20,27.29165543528681
Config 73,0.2551150321960449,18,17.369024154218742
Config 74,0.4333672523498535,20,23.82539084313933
Config 75,0.6381382942199707,22,33.57846509951869
Config 76,0.34470653533935547,18,20.412414523193153
Config 77,20.743772268295288,24,42.726405718161075
Config 78,0.4295387268066406,22,30.06688971514774
Config 79,0.10944604873657227,16,15.212776585113298
Config 80,0.3771247863769531,20,23.82539084313933
Config 81,0.26892948150634766,18,19.265332783122187
Config 82,0.44144630432128906,20,25.131846879399244
Config 83,0.2810556888580322,20,23.285477889579546
Config 84,0.5544185638427734,22,33.57846509951869
Config 85,0.26848411560058594,18,20.412414523193153
Config 86,0.1063385009765625,16,15.212776585113298
Config 87,0.9107553958892822,22,33.57846509951869
Config 88,0.3127560615539551,20,23.285477889579546
Config 89,0.5693738460540771,20,27.29165543528681
Config 90,0.6226222515106201,22,33.57846509951869
Config 91,0.3677382469177246,20,23.82539084313933
Config 92,0.3551175594329834,18,19.265332783122187
Config 93,0.33720970153808594,18,17.369024154218742
Config 94,0.08549952507019043,16,15.212776585113298
Config 95,0.41095757484436035,20,23.82539084313933
Config 96,0.11057686805725098,16,15.212776585113298
Config 97,0.40511274337768555,18,20.412414523193153
Config 98,0.2503626346588135,18,19.265332783122187
Config 99,0.3086216449737549,18,17.369024154218742
Config 100,0.45091962814331055,22,28.16911032671567
