Config_ID,Running_Time_s,update_tree_cache_calls,WPLI
Config 1,1.2744061946868896,44,6.9869597277525735
Config 2,1.4971511363983154,38,8.908624965850038
Config 3,2.7494096755981445,40,10.556908831726245
Config 4,8.345929622650146,42,10.589062596950814
Config 5,4.4682393074035645,38,8.491475619866158
Config 6,1.2354183197021484,42,13.957148619631113
Config 7,7.884593486785889,42,11.910867117798443
Config 8,10.527555227279663,44,13.597737067194258
Config 9,6.816246509552002,44,11.596615596566894
Config 10,7.500738143920898,42,12.347062741730307
Config 11,0.886711835861206,40,10.58709055815083
Config 12,6.800591230392456,42,10.011677893310024
Config 13,2.216973304748535,42,12.20636892677645
Config 14,6.0241172313690186,38,8.770830744216664
Config 15,1.0506017208099365,44,8.771382713945489
Config 16,0.8678159713745117,36,7.554321256487279
Config 17,90.31925010681152,44,16.29295597928698
Config 18,1.198803424835205,44,10.48155840863838
Config 19,2.55670166015625,42,13.285884348617245
Config 20,0.9485831260681152,40,8.705119408261798
Config 21,6.4831788539886475,42,9.735623008975393
Config 22,1.0178234577178955,42,11.262368208283174
Config 24,56.82148814201355,50,15.702648978767408
Config 25,2.168525218963623,42,11.261275366059774
Config 26,0.9940869808197021,44,12.452060452404895
Config 27,2.0823171138763428,40,10.059335065273189
Config 28,2.166886568069458,48,13.9285433810836
Config 29,1.3133530616760254,44,13.664287894584314
Config 30,1.0172853469848633,42,11.640880385000468
Config 31,0.9516754150390625,40,7.901062169239185
Config 32,0.7822387218475342,38,8.348528527223971
Config 33,1.0873043537139893,40,10.21707762396849
Config 34,1.0257573127746582,40,11.141229916551714
Config 35,0.5707221031188965,38,8.079284198338765
Config 36,3.4527206420898438,40,10.700938911271493
Config 37,2.19765305519104,42,11.910867117798443
Config 38,2.162729024887085,38,7.6618803178557275
Config 39,1.031233310699463,42,8.537376056219333
Config 40,2.444180965423584,42,11.869203576888044
Config 41,6.184128999710083,40,10.85799853419093
Config 42,0.5737595558166504,34,5.686309195084078
Config 43,19.372271060943604,44,14.994679407730471
Config 44,58.70302700996399,44,16.18157344963127
Config 45,1.1315090656280518,38,8.908624965850036
Config 46,1.0001370906829834,38,9.324987520860192
Config 47,1.2807693481445312,44,9.458755663940845
Config 48,1.966836929321289,40,9.004179629749007
Config 49,0.8956735134124756,34,6.416247308813994
Config 50,1.0665440559387207,34,6.666666666666667
Config 51,9.21103048324585,50,20.277265907669978
Config 52,1.2185752391815186,38,9.96764022287829
Config 53,1.0662682056427002,36,7.665723282594611
Config 54,0.7207341194152832,36,6.6978245802263014
Config 55,1.4763929843902588,40,10.61966131160808
Config 56,1.0341660976409912,42,8.025471806663692
Config 57,0.9851276874542236,42,11.437689342263043
Config 58,0.8303723335266113,40,8.726300938456506
Config 59,6.244348526000977,44,12.347062741730307
Config 60,2.170322895050049,42,12.662185399502665
Config 61,2.2832865715026855,44,12.051792697841368
Config 62,7.81955623626709,46,13.28516340810288
Config 63,0.9992544651031494,40,9.84828713657279
Config 64,7.335371971130371,40,10.006832308192026
Config 65,1.1688940525054932,40,11.388458380840053
Config 66,20.291987895965576,46,15.96709612553488
Config 67,1.7312874794006348,38,7.901062169239185
Config 68,1.4581077098846436,48,12.51188227610822
Config 69,6.531974792480469,40,11.22902272527018
Config 70,6.285402297973633,44,11.554884030921615
Config 71,3.1818814277648926,42,13.766540570543802
Config 72,58.458242893218994,46,18.795004067022806
Config 73,7.7494072914123535,40,9.419653770669644
Config 74,2.4412150382995605,42,12.500755103439863
Config 75,1.0169267654418945,38,8.330389187521101
Config 76,1.1121797561645508,46,9.147184936964571
Config 77,54.80962800979614,44,14.596814706772623
Config 78,1.2347149848937988,42,10.18619838356153
Config 79,2.1004538536071777,40,9.96764022287829
Config 80,0.7009015083312988,46,8.511408944706707
Config 81,2.405872106552124,44,13.6609418165426
Config 82,0.7293353080749512,38,7.745439591948693
Config 83,1.2149765491485596,44,10.763370976409147
Config 84,2.6157078742980957,42,13.233743745806903
Config 85,2.282191753387451,42,13.113369884481223
Config 86,0.7838845252990723,40,9.222822520703037
Config 87,4.833606481552124,46,14.258841448413138
Config 88,1.2027397155761719,38,8.884631828785887
Config 89,2.5812880992889404,44,14.501020230999574
Config 90,7.888624906539917,42,10.186198383561532
Config 91,0.7919671535491943,46,8.511448626792758
Config 92,2.1011602878570557,46,13.412037379886021
Config 93,0.9243617057800293,42,8.954800213267868
Config 94,0.9667654037475586,38,9.223097497551702
Config 95,2.5676426887512207,42,13.285884348617245
Config 96,0.6339542865753174,32,5.59708419493119
Config 97,0.6334996223449707,36,6.724289198037858
Config 98,0.6713097095489502,38,7.812392862854902
Config 99,2.4389901161193848,42,12.60548710224027
Config 100,0.8074758052825928,38,8.532295869229618
Config 101,0.9929416179656982,44,8.66211178131246
Config 102,16.238018035888672,48,20.502421450807603
Config 103,6.820384502410889,42,11.385286786781101
Config 104,5.971343994140625,44,13.996868590679819
Config 105,53.49388241767883,44,15.80571852840954
Config 106,1.0901570320129395,44,10.090047268305904
Config 107,7.10915470123291,42,10.44891994191842
Config 108,0.8632876873016357,40,10.220782268431114
Config 109,0.7170071601867676,42,7.0814853686274075
Config 110,1.0830926895141602,36,7.554321256487279
Config 111,1.0179715156555176,42,10.656439054333743
Config 112,1.0483341217041016,38,9.912560431826748
Config 113,7.235873222351074,46,17.49981328230933
Config 114,0.5685269832611084,34,6.078471359112158
Config 115,0.8322951793670654,38,8.34965721446866
Config 116,6.085653305053711,48,12.219432256372912
Config 117,0.845207691192627,34,6.666666666666667
Config 118,8.128938436508179,42,11.646118738409516
